datetime,Open,High,Low,Close
2024-03-27 09:15:00,22011.175,22104.7,22011.175,22078.325
2024-03-27 09:30:00,22077.875,22124.95,22077.875,22110.6625
2024-03-27 09:45:00,22107.85,22135.35,22103.0,22121.175
2024-03-27 10:00:00,22123.175,22161.15,22123.175,22143.45
2024-03-27 10:15:00,22139.775,22157.65,22137.7,22145.4875
2024-03-27 10:30:00,22143.3,22163.05,22133.0,22148.65
2024-03-27 10:45:00,22149.275,22159.5,22135.15,22150.55
2024-03-27 11:00:00,22153.775,22172.4,22142.5,22155.0125
2024-03-27 11:15:00,22152.575,22170.4,22152.575,22162.725
2024-03-27 11:30:00,22162.375,22182.1,22154.3,22168.5
2024-03-27 11:45:00,22168.8,22183.35,22167.65,22173.425
2024-03-27 12:00:00,22171.35,22178.15,22154.25,22167.5
2024-03-27 12:15:00,22168.8,22175.2,22157.55,22163.75
2024-03-27 12:30:00,22161.125,22168.6,22152.5,22159.45
2024-03-27 12:45:00,22158.35,22174.15,22156.5,22165.075
2024-03-27 13:00:00,22164.825,22176.45,22148.0,22163.025
2024-03-27 13:15:00,22163.825,22172.3,22159.1,22164.375
2024-03-27 13:30:00,22163.05,22183.4,22163.05,22173.5375
2024-03-27 13:45:00,22173.25,22193.6,22171.9,22181.175
2024-03-27 14:00:00,22179.6,22191.35,22173.7,22182.9125
2024-03-27 14:15:00,22183.3,22191.4,22174.65,22182.475
2024-03-27 14:30:00,22181.925,22181.925,22159.45,22170.475
2024-03-27 14:45:00,22172.225,22172.45,22152.0,22161.8375
2024-03-27 15:00:00,22161.45,22161.45,22093.3,22129.375
2024-03-27 15:15:00,22134.95,22159.35,22109.65,22133.5
2024-03-28 09:15:00,22132.5,22224.6,22132.5,22192.375
2024-03-28 09:30:00,22190.65,22263.55,22190.65,22236.1
2024-03-28 09:45:00,22237.65,22316.8,22237.65,22281.7625
2024-03-28 10:00:00,22279.1,22317.5,22279.1,22304.35
2024-03-28 10:15:00,22303.425,22326.3,22281.85,22299.8875
2024-03-28 10:30:00,22295.7,22368.4,22278.5,22322.2875
2024-03-28 10:45:00,22321.125,22364.95,22321.125,22352.075
2024-03-28 11:00:00,22350.575,22370.85,22345.55,22357.4875
2024-03-28 11:15:00,22356.775,22373.5,22344.4,22363.4875
2024-03-28 11:30:00,22368.025,22370.7,22352.6,22362.9125
2024-03-28 11:45:00,22364.175,22370.35,22321.05,22345.5125
2024-03-28 12:00:00,22345.325,22345.45,22325.65,22334.5375
2024-03-28 12:15:00,22333.525,22364.7,22327.5,22345.05
2024-03-28 12:30:00,22344.0,22424.35,22344.0,22386.2625
2024-03-28 12:45:00,22384.975,22434.85,22384.975,22413.1625
2024-03-28 13:00:00,22408.725,22418.75,22397.85,22407.6
2024-03-28 13:15:00,22406.9,22426.45,22406.45,22413.925
2024-03-28 13:30:00,22411.4,22429.85,22405.95,22416.125
2024-03-28 13:45:00,22414.35,22444.5,22413.55,22426.8375
2024-03-28 14:00:00,22424.65,22474.75,22424.65,22450.7
2024-03-28 14:15:00,22450.925,22496.7,22450.925,22478.0375
2024-03-28 14:30:00,22477.65,22516.0,22472.4,22494.6375
2024-03-28 14:45:00,22495.075,22503.45,22416.05,22459.7375
2024-03-28 15:00:00,22459.725,22459.725,22264.95,22343.6125
2024-03-28 15:15:00,22344.6,22344.6,22264.65,22305.4125
2024-04-01 09:15:00,22306.65,22519.0,22306.65,22477.8
2024-04-01 09:30:00,22474.425,22529.95,22467.3,22493.4
2024-04-01 09:45:00,22488.175,22523.3,22475.9,22500.9125
2024-04-01 10:00:00,22502.225,22524.4,22495.3,22510.7375
2024-04-01 10:15:00,22511.625,22512.75,22488.3,22501.225
2024-04-01 10:30:00,22501.925,22506.5,22488.75,22496.925
2024-04-01 10:45:00,22496.225,22497.1,22467.95,22483.5375
2024-04-01 11:00:00,22484.55,22484.55,22453.3,22472.1375
2024-04-01 11:15:00,22477.45,22491.5,22477.45,22482.6375
2024-04-01 11:30:00,22480.775,22487.2,22459.7,22474.2
2024-04-01 11:45:00,22474.95,22482.3,22463.7,22473.625
2024-04-01 12:00:00,22474.25,22489.05,22462.2,22474.1125
2024-04-01 12:15:00,22472.6,22483.25,22461.0,22469.95
2024-04-01 12:30:00,22467.775,22479.85,22467.775,22474.2875
2024-04-01 12:45:00,22473.625,22475.05,22449.85,22465.175
2024-04-01 13:00:00,22467.9,22467.9,22427.75,22450.0
2024-04-01 13:15:00,22453.975,22461.25,22445.65,22452.6625
2024-04-01 13:30:00,22451.875,22472.3,22451.875,22461.5375
2024-04-01 13:45:00,22458.875,22463.6,22445.05,22456.8875
2024-04-01 14:00:00,22459.45,22473.3,22453.75,22460.425
2024-04-01 14:15:00,22457.325,22467.5,22450.5,22458.825
2024-04-01 14:30:00,22458.65,22466.05,22434.15,22449.6625
2024-04-01 14:45:00,22449.225,22462.55,22433.5,22447.2625
2024-04-01 15:00:00,22446.5,22466.95,22446.5,22459.25
2024-04-01 15:15:00,22461.2,22477.7,22456.5,22467.2125
2024-04-02 09:15:00,22467.325,22468.1,22414.35,22446.4
2024-04-02 09:30:00,22451.575,22497.6,22441.4,22465.65
2024-04-02 09:45:00,22461.8,22483.7,22428.7,22455.6625
2024-04-02 10:00:00,22455.125,22455.4,22428.65,22436.875
2024-04-02 10:15:00,22431.725,22448.35,22421.55,22433.5125
2024-04-02 10:30:00,22432.075,22438.3,22409.35,22425.5125
2024-04-02 10:45:00,22427.2,22434.05,22399.1,22414.675
2024-04-02 11:00:00,22412.775,22436.35,22388.15,22414.4375
2024-04-02 11:15:00,22416.625,22445.15,22416.4,22427.35
2024-04-02 11:30:00,22423.925,22436.8,22413.95,22423.625
2024-04-02 11:45:00,22421.875,22428.25,22416.4,22421.9375
2024-04-02 12:00:00,22421.55,22427.55,22414.4,22420.9875
2024-04-02 12:15:00,22421.0,22429.95,22416.55,22422.775
